key;ENGLISH;FRENCH;GERMAN;POLISH;SPANISH;ITALIAN;SWEDISH;CZECH;HUNGARIAN;DUTCH;PORTUGUESE;RUSSIAN;FINNISH;x
###############;;;;;;;;;;;;;;x
###DoDFF loc###;;;;;;;;;;;;;;x
###############;;;;;;;;;;;;;;x
custom_treaty_cb;Treaty War;;;;;;;;;;;;;x
custom_treaty_cb_short;Enforce a treaty onto $RECIPIENT$;;;;;;;;;;;;;x
custom_treaty_cb_desc;Enforce a special treaty onto §Yenemy country§W!;;;;;;;;;;;;;x
custom_treaty_cb_setup;Enforce a treaty onto $RECIPIENT$;;;;;;;;;;;;;x
AGRESSION_WAR_CUSTOM_TREATY_NAME;$ORDER$$ORDER$ $FIRST$ Treaty War of $SECOND_COUNTRY$;$ORDER$ $FIRST$ libération de $SECOND_COUNTRY$;$ORDER$ $FIRST$ Befreiung von $SECOND_COUNTRY$;;;;;;;;;;;x
NORMAL_WAR_CUSTOM_TREATY_NAME;$ORDER$$ORDER$ $FIRST$ Treaty War of $SECOND_COUNTRY$;$ORDER$ $FIRST$ libération de $SECOND_COUNTRY$;$ORDER$ $FIRST$ Befreiung von $SECOND_COUNTRY$;;;;;;;;;;;x
